files,frames,processors,waves,time,predicted_time
1,16,1,1,54.0656552314758,54.2616082668926
1,16,1,1,57.0704236030579,54.2616082668926
1,16,1,1,55.0678582191467,54.2616082668926
2,16,2,1,57.0716247558594,56.5242307699004
2,16,2,1,57.0734722614288,56.5242307699004
2,16,2,1,54.0696115493774,56.5242307699004
3,16,3,1,57.0863525867462,57.3533533766071
3,16,3,1,56.1065583229065,57.3533533766071
3,16,3,1,59.0950484275818,57.3533533766071
4,16,4,1,57.0877604484558,57.8241010092385
4,16,4,1,56.0828080177307,57.8241010092385
4,16,4,1,62.1079354286194,57.8241010092385
5,16,5,1,56.1108694076538,58.1514986522397
5,16,5,1,58.0929610729218,58.1514986522397
5,16,5,1,59.1191005706787,58.1514986522397
6,16,6,1,57.0858654975891,58.4072213004258
6,16,6,1,59.1215476989746,58.4072213004258
6,16,6,1,59.0868697166443,58.4072213004258
7,16,7,1,57.0857627391815,58.6219868087177
7,16,7,1,68.1188733577728,58.6219868087177
7,16,7,1,58.0952215194702,58.6219868087177
8,16,8,1,57.0972249507904,58.8111541045756
8,16,8,1,60.0949058532715,58.8111541045756
8,16,8,1,62.0917966365814,58.8111541045756
2,16,1,2,110.134400844574,106.799267375923
2,16,1,2,114.135010242462,106.799267375923
2,16,1,2,111.133918762207,106.799267375923
4,16,2,2,115.149875402451,115.897265845534
4,16,2,2,113.140020847321,115.897265845534
4,16,2,2,121.148326396942,115.897265845534
6,16,3,2,120.185573816299,118.369597864675
6,16,3,2,120.211839199066,118.369597864675
6,16,3,2,121.186691522598,118.369597864675
8,16,4,2,114.168258428574,119.185513271197
8,16,4,2,121.200328588486,119.185513271197
8,16,4,2,119.168744325638,119.185513271197
10,16,5,2,123.18177652359,119.338862032672
10,16,5,2,124.200530767441,119.338862032672
10,16,5,2,123.197587251663,119.338862032672
12,16,6,2,118.17573261261,119.160927471624
12,16,6,2,124.191537857056,119.160927471624
12,16,6,2,122.201314210892,119.160927471624
14,16,7,2,118.17750954628,118.793688154848
14,16,7,2,120.195079803467,118.793688154848
14,16,7,2,125.1951212883,118.793688154848
16,16,8,2,119.224429368973,118.308133365742
16,16,8,2,122.183184623718,118.308133365742
16,16,8,2,129.284486055374,118.308133365742
3,16,1,3,152.183145523071,159.856696874761
3,16,1,3,152.195694923401,159.856696874761
3,16,1,3,149.16866517067,159.856696874761
6,16,2,3,155.196168661118,171.395963245071
6,16,2,3,160.2003428936,171.395963245071
6,16,2,3,161.198764324188,171.395963245071
9,16,3,3,156.204599380493,175.173932309322
9,16,3,3,163.20480966568,175.173932309322
9,16,3,3,167.21088886261,175.173932309322
12,16,4,3,157.194137573242,177.011577047059
12,16,4,3,170.21085691452,177.011577047059
12,16,4,3,164.211751937866,177.011577047059
15,16,5,3,158.258594274521,178.07309205419
15,16,5,3,163.242817163467,178.07309205419
15,16,5,3,169.231981992722,178.07309205419
18,16,6,3,164.293951272964,178.746542196018
18,16,6,3,175.273420095444,178.746542196018
18,16,6,3,170.264826774597,178.746542196018
21,16,7,3,173.240972518921,179.198240986244
21,16,7,3,170.297023057938,179.198240986244
21,16,7,3,164.24339723587,179.198240986244
24,16,8,3,166.273517131805,179.51134518172
24,16,8,3,165.275066375732,179.51134518172
24,16,8,3,169.253794193268,179.51134518172
4,16,1,4,220.26203918457,213.044068971051
4,16,1,4,221.263656377792,213.044068971051
4,16,1,4,232.283567667007,213.044068971051
8,16,2,4,224.261270284653,225.926076225584
8,16,2,4,232.285044670105,225.926076225584
8,16,2,4,228.281440973282,225.926076225584
12,16,3,4,232.291597127914,230.925289243116
12,16,3,4,246.29868555069,230.925289243116
12,16,3,4,229.293551683426,230.925289243116
16,16,4,4,230.291376113892,233.953803701397
16,16,4,4,235.297795295715,233.953803701397
16,16,4,4,245.297265291214,233.953803701397
20,16,5,4,235.359793424606,236.194038735979
20,16,5,4,243.359530925751,236.194038735979
20,16,5,4,241.367652654648,236.194038735979
24,16,6,4,239.345597982407,238.040134058711
24,16,6,4,239.342630624771,238.040134058711
24,16,6,4,248.402847766876,238.040134058711
28,16,7,4,242.363899946213,239.661006688957
28,16,7,4,249.348184108734,239.661006688957
28,16,7,4,252.379390478134,239.661006688957
32,16,8,4,246.37394618988,241.1411151364
32,16,8,4,261.417179107666,241.1411151364
32,16,8,4,262.391483068466,241.1411151364
10,16,1,10,490.578387498856,532.714060458089
40,16,4,10,546.860408067703,571.895047717026
50,16,5,10,547.780092954636,582.343928799854
60,16,6,10,556.795453548431,592.575189215725
70,16,7,10,570.912868022919,602.682094964764
80,16,8,10,586.900253772736,612.711279047032
10,16,1,10,529.650407552719,532.714060458089
20,16,2,10,610.930993080139,549.038699548756
30,16,3,10,599.905700922012,561.010925300284
40,16,4,10,606.91747713089,571.895047717026
50,16,5,10,624.891178369522,582.343928799854
60,16,6,10,629.945303440094,592.575189215725
70,16,7,10,619.935656547546,602.682094964764
80,16,8,10,618.926640748978,612.711279047032
