vcpus,memory,images,predicted_total_time
1,16,10,184.5364935296
1,16,20,188.7626761131
1,16,30,192.9888586966
1,16,60,205.6674064471
1,16,90,218.3459541975
1,16,120,231.024501948
1,32,10,172.3891905681
1,32,20,176.6153731516
1,32,30,180.8415557351
1,32,60,193.5201034856
1,32,90,206.198651236
1,32,120,218.8771989865
1,64,10,148.0945846452
1,64,20,152.3207672287
1,64,30,156.5469498122
1,64,60,169.2254975626
1,64,90,181.9040453131
1,64,120,194.5825930636
2,16,10,174.9252917263
2,16,20,179.1514743098
2,16,30,183.3776568932
2,16,60,196.0562046437
2,16,90,208.7347523942
2,16,120,221.4133001447
2,32,10,162.7779887648
2,32,20,167.0041713483
2,32,30,171.2303539318
2,32,60,183.9089016822
2,32,90,196.5874494327
2,32,120,209.2659971832
2,64,10,138.4833828418
2,64,20,142.7095654253
2,64,30,146.9357480088
2,64,60,159.6142957593
2,64,90,172.2928435097
2,64,120,184.9713912602
4,16,10,155.7028881196
4,16,20,159.9290707031
4,16,30,164.1552532866
4,16,60,176.833801037
4,16,90,189.5123487875
4,16,120,202.190896538
4,32,10,143.5555851581
4,32,20,147.7817677416
4,32,30,152.0079503251
4,32,60,164.6864980755
4,32,90,177.365045826
4,32,120,190.0435935765
4,64,10,119.2609792351
4,64,20,123.4871618186
4,64,30,127.7133444021
4,64,60,140.3918921526
4,64,90,153.0704399031
4,64,120,165.7489876535
