Cores,DataSize,App,Simulated
6,5,kmeans,351.94625
6,10,kmeans,1958.010125
6,15,kmeans,4398.4085
6,20,kmeans,4398.4085
8,5,kmeans,257.54809375
8,10,kmeans,457.71365625
8,15,kmeans,1965.266625
8,20,kmeans,4398.4085
10,5,kmeans,225.615265625
10,10,kmeans,421.91440625
10,15,kmeans,1417.986625
10,20,kmeans,1965.266625
12,5,kmeans,197.8144375
12,10,kmeans,362.8946875
12,15,kmeans,464.53221875
12,20,kmeans,1964.82875
14,5,kmeans,177.697515625
14,10,kmeans,314.0984375
14,15,kmeans,464.53221875
14,20,kmeans,1417.54875
16,5,kmeans,173.588796875
16,10,kmeans,271.30990625
16,15,kmeans,431.54575
16,20,kmeans,467.345
18,5,kmeans,144.978671875
18,10,kmeans,258.1546875
18,15,kmeans,372.96421875
18,20,kmeans,467.345
20,5,kmeans,138.980328125
20,10,kmeans,236.95571875
20,15,kmeans,321.74671875
20,20,kmeans,429.1245
22,5,kmeans,127.3376875
22,10,kmeans,221.735359375
22,15,kmeans,314.15753125
22,20,kmeans,370.54296875
24,5,kmeans,129.1911484375
24,10,kmeans,209.592953125
24,15,kmeans,276.14528125
24,20,kmeans,370.54296875
26,5,kmeans,113.8957265625
26,10,kmeans,194.772796875
26,15,kmeans,276.14528125
26,20,kmeans,321.74671875
28,5,kmeans,104.2607421875
28,10,kmeans,189.476046875
28,15,kmeans,262.98984375
28,20,kmeans,321.74671875
30,5,kmeans,104.2607421875
30,10,kmeans,176.51425
30,15,kmeans,244.2124375
30,20,kmeans,314.15753125
32,5,kmeans,104.1352734375
32,10,kmeans,182.428640625
32,15,kmeans,228.866609375
32,20,kmeans,276.01978125
34,5,kmeans,104.1352734375
34,10,kmeans,163.842328125
34,15,kmeans,228.866609375
34,20,kmeans,276.01978125
36,5,kmeans,96.2482421875
36,10,kmeans,153.49859375
36,15,kmeans,216.40428125
36,20,kmeans,262.54434375
38,5,kmeans,96.2482421875
38,10,kmeans,153.49859375
38,15,kmeans,216.40428125
38,20,kmeans,243.767046875
40,5,kmeans,95.2575234375
40,10,kmeans,152.8520625
40,15,kmeans,204.514640625
40,20,kmeans,246.697546875
42,5,kmeans,95.2575234375
42,10,kmeans,152.8520625
42,15,kmeans,199.217890625
42,20,kmeans,231.47721875
44,5,kmeans,95.737859375
44,10,kmeans,142.60046875
44,15,kmeans,187.6470625
44,20,kmeans,232.86815625
46,5,kmeans,95.737859375
46,10,kmeans,144.453875
46,15,kmeans,193.68690625
46,20,kmeans,232.86815625
48,5,kmeans,95.737859375
48,10,kmeans,144.453875
48,15,kmeans,193.68690625
48,20,kmeans,220.72575
